symbol-bse,company-full-name
BALUFORGE,BALU FORGE INDUSTRIES LIMITED
BALTE,BALURGHAT TECHNOLOGIES LTD.
BAMBINO,BAMBINO AGRO INDUSTRIES LTD.
BAMPSL,BAMPSL SECURITIES LTD.
BANARBEADS,BANARAS BEADS LTD.
BANASFN,BANAS FINANCE LTD.
BANCOINDIA,BANCO PRODUCTS (INDIA) LTD.
BANDARAM,BANDARAM PHARMA PACKTECH LIMIT
BANDHANBNK,BANDHAN BANK LIMITED
BANG,BANG OVERSEAS LTD.
BANKBARODA,BANK OF BARODA
BANKINDIA,BANK OF INDIA
MAHABANK,BANK OF MAHARASHTRA
BASML,BANNARI AMMAN SPINNING MILLS L
BANARISUG,BANNARI AMMAN SUGARS LTD.
BRPL,BANSAL ROOFING PRODUCTS LTD
BANSALWIRE,BANSAL WIRE INDUSTRIES LIMITED
BANSTEA,BANSISONS TEA INDUSTRIES LTD.
BANSWRAS,BANSWARA SYNTEX LTD.
BVCL,BARAK VALLEY CEMENTS LTD.
BAROEXT,BARODA EXTRUSION LTD.
BARODARY,BARODA RAYON CORPORATION LTD.
BARONINF,BARON INFOTECH LTD.
ASMS,BARTRONICS INDIA LTD.
BASANTGL,BASANT AGRO TECH (INDIA) LTD.
BASF,BASF INDIA LTD.
BATAINDIA,BATA INDIA LTD.
BATLIBOI,BATLIBOI LTD.
BAYERCROP,BAYER CROPSCIENCE LTD.
BAZELINTER,BAZEL INTERNATIONAL LIMITED
BCCFUBA,BCC FUBA INDIA LTD.
BCLENTERPR,BCL ENTERPRISES LIMITED
BCLIND,BCL INDUSTRIES LIMITED
BCPL,BCPL RAILWAY INFRASTRUCTURE LI
BDH,BDH INDUSTRIES LTD.
BEDMUTHA,BEDMUTHA INDUSTRIES LTD.
BEEKAY,BEEKAY STEEL INDUSTRIES LTD.
BEEYU,BEEYU OVERSEAS LTD.
BEEZAASAN,BEEZAASAN EXPLOTECH LIMITED
BEFOUNDMOL,BEFOUND MOVEMENT LIMITED
BELDING,BELDING INDIA LIMITED
BELLACASA,BELLA CASA FASHION & RETAIL LI
BELRISE,BELRISE INDUSTRIES LIMITED
BEMHY,BEMCO HYDRAULICS LTD.
BLAL,BEML LAND ASSETS LIMITED
BEML,BEML LTD.
BENARA,BENARA BEARINGS AND PISTONS LI
BENARAS,BENARES HOTELS LTD.
BENCHMARK,BENCHMARK COMPUTER SOLUTIONS L
BENGALASM,BENGAL & ASSAM COMPANY LTD.
BENGALS,BENGAL STEEL INDUSTRIES LTD.
BENGALT,BENGAL TEA & FABRICS LTD.
BENTCOM,BENTLEY COMMERCIAL ENTERPRISES
BERGEPAINT,BERGER PAINTS INDIA LTD.
BERVINL,BERVIN INVESTMENT & LEASING LT
BERLDRG,BERYL DRUGS LTD.
BERYLSE,BERYL SECURITIES LTD.
BESTAGRO,BEST AGROLIFE LIMITED
BESTEAST,BEST EASTERN HOTELS LTD.
BETXIND,BETEX INDIA LTD.
BFINVEST,BF INVESTMENT LTD.
BFUTILITIE,BF UTILITIES LTD.
BFLAFL,BFL ASSET FINVEST LIMITED
BGIL,BGIL FILMS & TECHNOLOGIES LTD.
BGRENERGY,BGR ENERGY SYSTEMS LTD.
BHAGGAS,BHAGAWATI GAS LIMITED
BHAGERIA,BHAGERIA INDUSTRIES LIMITED
BHAGCHEM,BHAGIRADHA CHEMICALS & INDUSTR
BGWTATO,BHAGWATI AUTOCAST LTD.
BHAGWOX,BHAGWATI OXYGEN LTD.
BHAGYANGR,BHAGYANAGAR INDIA LTD.
BHANDARI,BHANDARI HOSIERY EXPORTS LTD.
BHANDERI,BHANDERI INFRACON LTD
BEPL,BHANSALI ENGINEERING POLYMERS
BHARATAGRI,BHARAT AGRI FERT & REALTY LTD.
BHARAT,BHARAT BHUSHAN FINANCE & COMMO
BBL,BHARAT BIJLEE LTD.
BHARATCOAL,BHARAT COKING COAL LIMITED
BDL,BHARAT DYNAMICS LIMITED
BEL,BHARAT ELECTRONICS LTD.
BHARATFORG,BHARAT FORGE LTD.
BHARATGEAR,BHARAT GEARS LTD.
BGDL,BHARAT GLOBAL DEVELOPERS LIMIT
BHEL,BHARAT HEAVY ELECTRICALS LTD.
BIBCL,BHARAT IMMUNOLOGICALS & BIOLOG
BPLPHARMA,BHARAT PARENTERALS LIMITED
BPCL,BHARAT PETROLEUM CORPORATION L
BHARATRAS,BHARAT RASAYAN LTD.
BRNL,BHARAT ROAD NETWORK LIMITED
BHARATSE,BHARAT SEATS LTD.
BHATEXT,BHARAT TEXTILES & PROOFING IND
BHARATWIRE,BHARAT WIRE ROPES LIMITED
BHARATIDIL,BHARATI DEFENCE AND INFRASTRUC
BGLOBAL,BHARATIYA GLOBAL INFOMEDIA LTD
BHARATROHAN,BHARATROHAN AIRBORNE INNOVATIO
BHARTIARTL,BHARTI AIRTEL LTD.
BHARTIHEXA,BHARTI HEXACOM LIMITED
BIL,BHARTIYA INTERNATIONAL LTD.
BHASKAGR,BHASKAR AGROCHEMICALS LTD.
BCCL,BHATIA COLOUR CHEM LIMITED
BHATIA,BHATIA COMMUNICATIONS & RETAIL
BHAVIK,BHAVIK ENTERPRISES LIMITED
BHEEMACEM,BHEEMA CEMENTS LTD.
BHILSPIN,BHILWARA SPINNERS LTD.
BTTL,BHILWARA TECHNICAL TEXTILES LT
BHUDEVI,BHUDEVI INFRA PROJECTS LIMITED
BIGBLOC,BIGBLOC CONSTRUCTION LIMITED
BIHSPONG,BIHAR SPONGE IRON LTD.
BIJHANS,BIJOY HANS LTD.
BIKAJI,BIKAJI FOODS INTERNATIONAL LIM
BILENERGY,BIL ENERGY SYSTEMS LTD.
BILVYAPAR,BIL VYAPAR LIMITED
BI,BILCARE LTD.
GROWW,BILLIONBRAINS GARAGE VENTURES
BILLWIN,BILLWIN INDUSTRIES LIMITED
BIMETAL,BIMETAL BEARINGS LTD.
ZBINTXPP,BINAYAK TEX PROCESSORS LTD.
BINDALEXPO,BINDAL EXPORTS LIMITED
BINNY,BINNY LTD.
BINNYMILLS,BINNY MILLS LTD.
BIOCON,BIOCON LTD.
BIOFILCHEM,BIOFIL CHEMICALS & PHARMACEUTI
BIOGEN,BIOGEN PHARMACHEM INDUSTRIES L
BIOPAC,BIOPAC INDIA CORPORATION LTD.
BIRLACABLE,BIRLA CABLE LIMITED
BIRLACAP,BIRLA CAPITAL & FINANCIAL SERV
BIRLACORPN,BIRLA CORPORATION LTD.
BIRLACOT,BIRLA COTSYN (INDIA) LTD.
BIRLAPREC,BIRLA PRECISION TECHNOLOGIES L
BIRLATR,BIRLA TRANSASIA CARPETS LTD.
BIRLANU,BIRLANU LIMITED
BSOFT,BIRLASOFT LIMITED
BITS,BITS LTD.
BIZOTIC,BIZOTIC COMMERCIAL LIMITED
BKMINDST,BKM INDUSTRIES LIMITED
BKV,BKV INDUSTRIES LTD.
BBOX,BLACK BOX LIMITED
BLACKROSE,BLACK ROSE INDUSTRIES LTD.
BLACKBUCK,BLACKBUCK LIMITED
BLBLIMITED,BLB LTD.
BLISSGVS,BLISS GVS PHARMA LTD.
BLOOM,BLOOM DEKOR LTD.
BLOIN,BLOOM INDUSTRIES LTD.
BLSE,BLS E-SERVICES LIMITED
BLSINFOTE,BLS INFOTECH LTD.
BLS,BLS INTERNATIONAL SERVICES LTD
BLT,BLT LOGISTICS LIMITED
BLUBLND-B,BLUE BLENDS (INDIA) LTD.
BLUECHIP,BLUE CHIP INDIA LTD.
BLUECHIPT,BLUE CHIP TEX INDUSTRIES LTD.
BLUECLOUDS,BLUE CLOUD SOFTECH SOLUTIONS L
BLUECOAST,BLUE COAST HOTELS LTD.
BLUEDART,BLUE DART EXPRESS LTD.
BLUEJET,BLUE JET HEALTHCARE LIMITED
BPAGRI,BLUE PEARL AGRIVENTURES LIMITE
BLUESTARCO,BLUE STAR LTD.
BVL,BLUEBLOOD VENTURES LIMITED
BLUEGOD,BLUEGOD ENTERTAINMENT LIMITED
BLUESTONE,BLUESTONE JEWELLERY AND LIFEST
BLUSPRING,BLUSPRING ENTERPRISES LIMITED
BMBMUMG,BMB MUSIC & MAGNETICS LTD.
BMW,BMW INDUSTRIES LIMITED
BMWVENTLTD,BMW VENTURES LIMITED
BNAGROCHEM,BN AGROCHEM LIMITED
BNRUDY,BNR UDYOG LTD.
BODALCHEM,BODAL CHEMICALS LTD.
BTML,BODHI TREE MULTIMEDIA LIMITED
BODHTREE,BODHTREE CONSULTING LIMITED
BOMBCYC,BOMBAY CYCLE & MOTOR AGENCY LT
BOMDYEING,BOMBAY DYEING & MFG.CO.LTD.
BOMOXY-B1,BOMBAY OXYGEN INVESTMENTS LIMI
BOMBPOT,BOMBAY POTTERIES & TILES LTD.
BRFL,BOMBAY RAYON FASHIONS LTD.
BOMTALKIES,BOMBAY TALKIES LIMITED
BOMBWIR,BOMBAY WIRE ROPES LTD.
BONDADA,BONDADA ENGINEERING LIMITED
BONLON,BONLON INDUSTRIES LIMITED
BORANA,BORANA WEAVES LIMITED
BOROLTD,BOROSIL LIMITED
BORORENEW,BOROSIL RENEWABLES LIMITED
BOROSCI,BOROSIL SCIENTIFIC LIMITED
BOSCH-HCIL,BOSCH HOME COMFORT INDIA LIMIT
BOSCHLTD,BOSCH LTD.
BOSTON,BOSTON COMMERCE LIMITED
BMAL,BOTHRA METALS & ALLOYS LTD.
BPL,BPL LTD.
BRADYM,BRADY & MORRIS ENGINEERING CO.
BRAHMINFRA,BRAHMAPUTRA INFRASTRUCTURE LTD
FIRSTCRY,BRAINBEES SOLUTIONS LIMITED
BCONCEPTS,BRAND CONCEPTS LIMITED
BRANDBUCKT,BRANDBUCKET MEDIA & TECHNOLOGY
BRAWN,BRAWN BIOTECH LTD.
BRIDGESE,BRIDGE SECURITIES LTD.
BRIGADE,BRIGADE ENTERPRISES LTD.
BRIGHOTEL,BRIGADE HOTEL VENTURES LIMITED
BRIGHTBR,BRIGHT BROTHERS LTD.
BRIGHT,BRIGHT OUTDOOR MEDIA LIMITED
BCG,BRIGHTCOM GROUP LIMITED
BRIJLEAS,BRIJLAXMI LEASING & FINANCE LT
BRIPORT,BRILLIANT PORTFOLIOS LTD.
BRISK,BRISK TECHNOVISION LIMITED
BRITANNIA,BRITANNIA INDUSTRIES LTD.
BROACH,BROACH LIFECARE HOSPITAL LIMIT
BIRET,BROOKFIELD INDIA REAL ESTATE T
BROOKS,BROOKS LABORATORIES LTD.
BSELALGO,BSEL ALGO LIMITED
BSL,BSL LTD.
BURNPUR,BURNPUR CEMENT LTD.
BUTTERFLY,BUTTERFLY GANDHIMATHI APPLIANC
BWLLTD,BWL LTD.
CANDC,C & C CONSTRUCTIONS LTD.
MAPMYINDIA,C.E. INFO SYSTEMS LIMITED
CJGEL,C.J.GELATINE PRODUCTS LTD.
CALCOM,CALCOM VISION LTD.
CALSOFT,CALIFORNIA SOFTWARE CO.LTD.
CALLISTA,CALLISTA INDUSTRIES LIMITED
CALSREF,CALS REFINERIES LTD.
CTE,CAMBRIDGE TECHNOLOGY ENTERPRIS
CAMEXLTD,CAMEX LTD.
CAMLINFINE,CAMLIN FINE SCIENCES LTD
CAMPUS,CAMPUS ACTIVEWEAR LIMITED
CAMSONBIO,CAMSON BIO TECHNOLOGIES LTD
CANFINHOME,CAN FIN HOMES LTD.
CANBK,CANARA BANK
CANHLIFE,CANARA HSBC LIFE INSURANCE COM
CRAMC,CANARA ROBECO ASSET MANAGEMENT
CANDOUR,CANDOUR TECHTEX LIMITED
CANTABIL,CANTABIL RETAIL INDIA LTD.
CAPACITE,CAPACIT'E INFRAPROJECTS LIMITE
CAPFIN,CAPFIN INDIA LIMITED
CAPILLARY,CAPILLARY TECHNOLOGIES INDIA L
CIFL,CAPITAL INDIA FINANCE LIMITED
CAPINVIT,CAPITAL INFRA TRUST
CAPITALSFB,CAPITAL SMALL FINANCE BANK LTD
CTL,CAPITAL TRADE LINKS LTD
CAPTRUST,CAPITAL TRUST LTD.
CNINFOTECH,CAPITALNUMBERS INFOTECH  LIMIT
CAPLIPOINT,CAPLIN POINT LABORATORIES LTD.
CGCL,CAPRI GLOBAL CAPITAL LIMITED
CAPRICORN,CAPRICORN SYSTEMS GLOBAL SOLUT
CAPRIHANS,CAPRIHANS INDIA LTD.
CAPRO,CAPROLACTAM CHEMICALS LTD.
CAPPIPES,CAPTAIN PIPES LIMITED
CPL,CAPTAIN POLYPLAST LTD
CTCL,CAPTAIN TECHNOCAST LIMITED
CARBORUNIV,CARBORUNDUM UNIVERSAL LTD.
CARERATING,CARE RATINGS LIMITED
CPEDU,CAREER POINT EDUTECH LIMITED
CARGOSOL,CARGOSOL LOGISTICS LIMITED
CARGOTRANS,CARGOTRANS MARITIME LIMITED
CARNATIN,CARNATION INDUSTRIES LTD.
CARRARO,CARRARO INDIA LIMITED
CARTRADE,CARTRADE TECH LIMITED
CARYSIL,CARYSIL LIMITED
CASPIAN,CASPIAN CORPORATE SERVICES LIM
CASTROLIND,CASTROL INDIA LTD.
CATVISION,CATVISION  LIMITED
CCLINTER,CCL INTERNATIONAL LTD.
CCL,CCL PRODUCTS (INDIA) LTD.
CDG,CDG PETCHEM LIMITED
CEATLTD,CEAT LTD.
CEEJAY,CEEJAY FINANCE LTD.
CEENIK,CEENIK EXPORTS (INDIA) LTD.
CEETAIN,CEETA INDUSTRIES LTD.
CEIGALL,CEIGALL INDIA LIMITED
CEINSYS,CEINSYS TECH LIMITED
CELEBRITY,CELEBRITY FASHIONS LTD.
CELLA,CELLA SPACE LIMITED
CELLO,CELLO WORLD LIMITED
CEMAINFRA,CEMANTIC INFRA-TECH LIMITED
CEMPRO,CEMINDIA PROJECTS LIMITED
CENLUB,CENLUB INDUSTRIES LTD.
CSURGSU,CENTENIAL SURGICAL SUTURE LTD.
CENTERAC,CENTERAC TECHNOLOGIES LTD.
CENTRALBK,CENTRAL BANK OF INDIA
CMPDI,CENTRAL MINE PLANNING & DESIGN
CENTPROV,CENTRAL PROVINCES RAILWAYS CO.
CENTRUM,CENTRUM CAPITAL LTD.
CENTUM,CENTUM ELECTRONICS LTD.
CENTENKA,CENTURY ENKA LTD.
CENTEXT,CENTURY EXTRUSIONS LTD.
CENTURYPLY,CENTURY PLYBOARDS (I) LTD.
CERA,CERA SANITARYWARE LTD.
CEREBRAINT,CEREBRA INTEGRATED TECHNOLOGIE
CESC,CESC LTD.
CFF,CFF FLUID CONTROL LIMITED
CGPOWER,CG POWER AND INDUSTRIAL SOLUTI
CGVAK,CG-VAK SOFTWARE & EXPORTS LTD.
CHADPAP,CHADHA PAPERS LTD.
CHALET,CHALET HOTELS LIMITED
CHALLANI,CHALLANI CAPITAL LIMITED
CLSEL,CHAMAN LAL SETIA EXPORTS LTD.
CHMBBRW,CHAMBAL BREWERIES & DISTILLERI
CHAMBLFERT,CHAMBAL FERTILISERS & CHEMICAL
CHANDNIMACH,CHANDNI MACHINES LIMITED
CBPL,CHANDRA BHAGAT PHARMA LIMITED
CHANDRAP,CHANDRA PRABHU INTERNATIONAL L
CHANDRIMA,CHANDRIMA MERCANTILES LIMITED
CHARMS,CHARMS INDUSTRIES LTD.
CHRTEDCA,CHARTERED CAPITAL & INVESTMENT
CHLOGIST,CHARTERED LOGISTICS LTD.
CHATHA,CHATHA FOODS LIMITED
CHTR,CHATTERBOX TECHNOLOGIES LIMITE
CHDCHEM,CHD CHEMICALS LIMITED
CHDDLTD,CHD DEVELOPERS LTD.
CHECKPOINT,CHECKPOINT TRENDS LIMITED
CHEMBONDCH,CHEMBOND CHEMICALS  LIMITED
CHEMBOND,CHEMBOND MATERIAL TECHNOLOGIES
CHEMCON,CHEMCON SPECIALITY CHEMICALS L
CHEMCRUX,CHEMCRUX ENTERPRISES LIMITED
CHEMFAB,CHEMFAB ALKALIS LTD
CHEMIESYNT,CHEMIESYNTH (VAPI) LIMITED
CHEMKART,CHEMKART INDIA LIMITED
CHEMPLASTS,CHEMPLAST SANMAR LIMITED
CHEMTECH,CHEMTECH INDUSTRIAL VALVES LTD
CHENFERRO,CHENNAI FERROUS INDUSTRIES LIM
CMMHOSP,CHENNAI MEENAKSHI MULTISPECIAL
CHENNPETRO,CHENNAI PETROLEUM CORPORATION
CHEVIOT,CHEVIOT CO.LTD.
CHABRASP,CHHABRA SPINNERS LTD.
CHIRAHARIT,CHIRAHARIT LIMITED
CHLLTD,CHL LTD.
CHOICEIN,CHOICE INTERNATIONAL LTD.
CHOKSI,CHOKSI ASIA LIMITED
CHOKSILA,CHOKSI LABORATORIES LTD.
CHOLAHLDNG,CHOLAMANDALAM FINANCIAL HOLDIN
CHOLAFIN,CHOLAMANDALAM INVESTMENT AND F
CHORDIA,CHORDIA FOOD PRODUCTS LTD.
CHOTHANI,CHOTHANI FOODS LIMITED
CHOWGULSTM,CHOWGULE STEAMSHIPS LTD.
CHROME,CHROME SILICON LIMITED
CIANAGRO,CIAN AGRO IND & INFRA LTD
CHCL,CIAN HEALTHCARE LIMITED
CIEINDIA,CIE AUTOMOTIVE INDIA LIMITED
CIGNITITEC,CIGNITI TECHNOLOGIES LTD.
CILSEC,CIL SECURITIES LTD.
CINDRELL,CINDRELLA FINANCIAL SERVICES L
CINDHO,CINDRELLA HOTELS LTD.
CINELINE,CINELINE INDIA LIMITED
CINEVISTA,CINEVISTA LTD.
CIPLA,CIPLA LTD.
CISTRO,CISTRO TELELINK LTD.
CITADEL,CITADEL REALTY AND DEVELOPERS
CITICHEM,CITICHEM INDIA LIMITED
CITIPOR,CITIPORT FINANCIAL SERVICES LT
CIL,CITIZEN INFOLINE LTD.
CITURGIA,CITURGIA BIOCHEMICALS LTD.
CCAL,CITY CROPS AGRO LIMITED
CITYONLINE,CITY ONLINE SERVICES LIMITED
CPML,CITY PULSE MULTIVENTURES LIMIT
CUB,CITY UNION BANK LTD.
CITYMAN,CITYMAN LTD.
CLEDUCATE,CL EDUCATE LIMITED
CLARA,CLARA INDUSTRIES LIMITED
CLASELE,CLASSIC ELECTRICALS LTD.
CFL,CLASSIC FILAMENTS LIMITED
CLFL,CLASSIC LEASING & FINANCE LTD.
CLCIND,CLC INDUSTRIES LIMITED
CLEANMAX,CLEAN MAX ENVIRO ENERGY SOLUTI
CLEAN,CLEAN SCIENCE AND TECHNOLOGY L
CLENON,CLENON ENTERPRISES LIMITED
CTLLAB,CLINITECH LABORATORY LIMITED
CLIOINFO,CLIO INFOTECH LTD.
CLN,CLN ENERGY LIMITED
CMICABLES,CMI LTD.
CMSINFO,CMS INFO SYSTEMS LIMITED
CMXLTD,CMX HOLDINGS LIMITED
COALINDIA,COAL INDIA LTD.
COASTCORP,COASTAL CORPORATION LTD.
COARO,COASTAL ROADWAYS LTD.
COCHMAL,COCHIN MALABAR ESTATES & INDUS
COCHINM,COCHIN MINERALS & RUTILE LTD.
COCHINSHIP,COCHIN SHIPYARD LIMITED
COFFEEDAY,COFFEE DAY ENTERPRISES LIMITED
COFORGE,COFORGE LIMITED
COHANCE,COHANCE LIFESCIENCES LIMITED
COLAB,COLAB PLATFORMS LIMITED
COLPAL,COLGATE-PALMOLIVE (INDIA) LTD.
COLINZ,COLINZ LABORATORIES LTD.
COLORCHIPS,COLORCHIPS NEW MEDIA LIMITED
COMCL,COMFORT COMMOTRADE LTD.
COMFINCAP,COMFORT FINCAP LTD.
COMFINTE,COMFORT INTECH LTD.
COMMAND,COMMAND POLYMERS LIMITED
COMSYN,COMMERCIAL SYN BAGS LIMITED
COMPEAU,COMPETENT AUTOMOBILES CO.LTD.
COMPINFO,COMPUAGE INFOCOM LTD.
COMPUSOFT,COMPUCOM SOFTWARE LTD.
CAMS,COMPUTER AGE MANAGEMENT SERVIC
COMPUPN,COMPUTER POINT LTD.
COMRADE,COMRADE APPLIANCES LIMITED
CONART,CONART ENGINEERS LTD.
CONCORDBIO,CONCORD BIOTECH LIMITED
CNCRD,CONCORD CONTROL SYSTEMS LIMITE
CONCORD,CONCORD DRUGS LIMITED
CEWATER,CONCORD ENVIRO SYSTEMS LIMITED
CFEL,CONFIDENCE FUTURISTIC ENERGETE
CONFIPET,CONFIDENCE PETROLEUM INDIA LTD
CCDL,CONSECUTIVE COMMODITIES LIMITE
CCCL,CONSOLIDATED CONSTRUCTION CONS
CONSTRONIC,CONSTRONICS INFRA LIMITED
CONTAINE,CONTAINE TECHNOLOGIES LIMITED
CONCOR,CONTAINER CORPORATION OF INDIA
CONTAINER,CONTAINERWAY INTERNATIONAL LIM
CONTILI,CONTIL INDIA LTD.
CONTCHM,CONTINENTAL CHEMICALS LTD.
CONTICON,CONTINENTAL CONTROLS LTD.
CONTPTR,CONTINENTAL PETROLEUMS LTD.
CSL,CONTINENTAL SECURITIES LIMITED
CONTROLPR,CONTROL PRINT LTD.
CORALFINAC,CORAL INDIA FINANCE & HOUSING
CORALAB,CORAL LABORATORIES LTD.
CORNE,CORAL NEWSPRINTS LTD.
CORDSCABLE,CORDS CABLE INDUSTRIES LTD.
CORAGRO,COROMANDEL AGRO PRODUCTS & OIL
COROENGG,COROMANDEL ENGINEERING COMPANY
COROMANDEL,COROMANDEL INTERNATIONAL LTD.
CORONA,CORONA REMEDIES LIMITED
CORPOCO,CORPORATE COURIER AND CARGO LT
CMBL,CORPORATE MERCHANT BANKERS LIM
COSBOARD,COSBOARD INDUSTRIES LTD.
COSCO,COSCO (INDIA) LTD.
COSMICCRF,COSMIC CRF LIMITED
COSMOFE,COSMO FERRITES LTD.
COSMOFIRST,COSMO FIRST LIMITED
COSPOWER,COSPOWER ENGINEERING LIMITED
COSYN,COSYN LIMITED
CCHHL,COUNTRY CLUB HOSPITALITY AND H
COUNCODOS,COUNTRY CONDOS LTD.
COVANCE,COVANCE SOFTSOL LIMITED
COVIDH,COVIDH
CKFSL,COX & KINGS FINANCIAL SERVICE
CPCAP,CP CAPITAL LIMITED
CRAFTSMAN,CRAFTSMAN AUTOMATION LIMITED
CRANEINFRA,CRANE INFRASTRUCTURE LIMITED
CRANESSOFT,CRANES SOFTWARE INTERNATIONAL
CRANEX,CRANEX LTD.
CRAVATEX,CRAVATEX LTD.
CREATIVE,CREATIVE CASTINGS LIMITED
CREATIVEYE,CREATIVE EYE LTD.
CNL,CREATIVE NEWTECH LIMITED
CREDENCE,CREDENCE SOUND & VISION LTD.
CGFL,CREDENT GLOBAL FINANCE LIMITED
CREDITACC,CREDITACCESS GRAMEEN LTD.
MUFTI,CREDO BRANDS MARKETING LIMITED
CRESANTO,CRESANTO GLOBAL LIMITED
CRESCENTIS,CRESCENTIS CAPITAL LIMITED
CRSL,CRESSANDA RAILWAY SOLUTIONS LI
CREST,CREST
CRSTCHM,CRESTCHEM LTD.
CRIMSON,CRIMSON METAL ENGINEERING COMP
CRISIL,CRISIL LTD.
CRIZAC,CRIZAC LIMITED
CROISSANCE,CROISSANCE LIMITED
CROMPTON,CROMPTON GREAVES CONSUMER ELEC
CROPSTER,CROPSTER AGRO LIMITED
CRPRISK,CRP RISK MANAGEMENT LIMITED
CRYOGENIC,CRYOGENIC OGS LIMITED
CRYSDALE,CRYSDALE INDUSTRIES LIMITED
CRYSTAL,CRYSTAL BUSINESS SYSTEM LIMITE
CSBBANK,CSB BANK LIMITED
CSLFINANCE,CSL FINANCE LIMITED
CUBEINVIT,CUBE HIGHWAYS TRUST
CUBEXTUB,CUBEX TUBINGS LTD.
CUBIFIN,CUBICAL FINANCIAL SERVICES LTD
CUMMINSIND,CUMMINS INDIA LTD.
CUPIDALBV,CUPID BREWERIES AND DISTILLERI
CUPID,CUPID LTD.
CURAA,CURA TECHNOLOGIES LTD.
CWD,CWD LIMITED
CYBELEIND,CYBELE INDUSTRIES LTD.
CYBERMEDIA,CYBER MEDIA (INDIA) LTD.
CYBERTECH,CYBERTECH SYSTEMS AND SOFTWARE
CYIENTDLM,CYIENT DLM LIMITED
CYIENT,CYIENT LIMITED
DBCORP,D B CORP LTD
DPABHUSHAN,D P ABHUSHAN LIMITED
DHINDIA,D&H INDIA LTD
DLINKINDIA,D-LINK (INDIA) LTD
DPWIRES,D.P. WIRES LIMITED
DSKULKARNI,D.S.KULKARNI DEVELOPERS LTD.
DABUR,DABUR INDIA LTD.
DACHEPALLI,DACHEPALLI PUBLISHERS LIMITED
DAICHI,DAI-ICHI KARKARIA LTD.
DAIKAFFI,DAIKAFFIL CHEMICALS INDIA LTD.
DSINVEST,DALAL STREET INVESTMENTS LTD.
DALBHARAT,DALMIA BHARAT LIMITED
DALMIASUG,DALMIA BHARAT SUGAR AND INDUST
DIDL,DALMIA INDUSTRIAL DEVELOPMENT
DAMCAPITAL,DAM CAPITAL ADVISORS LIMITED
DAMODARIND,DAMODAR INDUSTRIES LTD.
DANLAW,DANLAW TECHNOLOGIES INDIA LTD.
DANUBE,DANUBE INDUSTRIES LIMITED
DAPS,DAPS ADVERTISING LIMITED
DARJEELING,DARJEELING INDUSTRIIES LIMITED
DARSHANORNA,DARSHAN ORNA LIMITED
DATAPATTNS,DATA PATTERNS (INDIA) LIMITED
DATAMATICS,DATAMATICS GLOBAL SERVICES LTD
DATIWARE,DATIWARE MARITIME INFRA LIMITE
DAULAT,DAULAT SECURITIES LTD.
DAVANGERE,DAVANGERE SUGAR COMPANY LIMITE
DAVIN,DAVIN SONS RETAIL LIMITED
DBSTOCKBRO,DB (INTERNATIONAL) STOCK BROKE
DCI,DC INFOTECH AND COMMUNICATION
DCBBANK,DCB BANK LIMITED
DCMFINSERV,DCM FINANCIAL SERVICES LTD.
DCM,DCM LTD.
DCMNVL,DCM NOUVELLE LIMITED
DSFCL,DCM SHRIRAM FINE CHEMICALS LIM
DCMSRIND,DCM SHRIRAM INDUSTRIES LTD.
DCMSIL,DCM SHRIRAM INTERNATIONAL LIMI
DCMSHRIRAM,DCM SHRIRAM LIMITED
DCW,DCW LTD.
DCXINDIA,DCX SYSTEMS LIMITED
DDEVPLSTIK,DDEV PLASTIKS INDUSTRIES LIMIT
DENORA,DE NORA INDIA LTD.
DECCANCE,DECCAN CEMENTS LTD.
DECNGOLD,DECCAN GOLD MINES LTD.
DECCAN,DECCAN HEALTH CARE LIMITED
DECPO,DECCAN POLYPACKS LTD.
DFL,DECILLION FINANCE LTD.
DECIPHER,DECIPHER LABS LIMITED
DECOMIC,DECO-MICA LTD.
DITCO,DECOROUS INVESTMENT AND TRADIN
DEEDEV,DEE DEVELOPMENT ENGINEERS LIMI
DEEPAI,DEEP HEALTH AI INDIA LIMITED
DEEPINDS,DEEP INDUSTRIES LIMITED
DEEP,DEEP POLYMERS LIMITED
DBEIL,DEEPAK BUILDERS AND ENGINEERS
DEEPAKCHEM,DEEPAK CHEMTEX LIMITED
DEEPAKFERT,DEEPAK FERTILISERS & PETROCHEM
DEEPAKNTR,DEEPAK NITRITE LTD.
DEEPAKSP,DEEPAK SPINNERS LTD.
DEFRAIL,DEFRAIL TECHNOLOGIES LIMITED
DELHIVERY,DELHIVERY LIMITED
DELPHIFX,DELPHI WORLD MONEY LIMITED
DELTACORP,DELTA CORP LTD.
DELTA,DELTA INDUSTRIAL RESOURCES LIM
DELTAMAGNT,DELTA MANUFACTURING LIMITED
DLTNCBL,DELTON CABLES LTD.
DELTRON,DELTRON LTD.
DEN,DEN NETWORKS LTD
DENISCHEM,DENIS CHEM LAB LTD
DENTA,DENTA WATER AND INFRA SOLUTION
DESCO,DESCO INFRATECH LIMITED
DESHRAK,DESH RAKSHAK AUSHDHALAYA LTD.
DEVX,DEV ACCELERATOR LIMITED
DEVIT,DEV INFORMATION TECHNOLOGY LIM
DEVLAB,DEV LABTECH VENTURE LIMITED
DEVINE,DEVINE IMPEX LTD.
DEVITRD,DEVINSU TRADING LTD.
DCL,DEVOTED CONSTRUCTION LIMITED
DEVYANI,DEVYANI INTERNATIONAL LIMITED
DHABRIYA,DHABRIYA POLYWOOD LIMITED
